LOS,PRG,4945.78
PRG,LOS,4945.78
LOS,BEY,4483.84
BEY,LOS,4483.84
LOS,TPE,12440.36
TPE,LOS,12440.36
LOS,PUS,12677.13
PUS,LOS,12677.13
LOS,MNL,12757.39
MNL,LOS,12757.39
LOS,AMD,7608.33
AMD,LOS,7608.33
LOS,IDR,7931.64
IDR,LOS,7931.64
LOS,IXC,8055.85
IXC,LOS,8055.85
LOS,BLR,8156.39
BLR,LOS,8156.39
LOS,CJB,8098.24
CJB,LOS,8098.24
LOS,GOX,7731.98
GOX,LOS,7731.98
TUN,BRU,1627.47
BRU,TUN,1627.47
TUN,STN,1846.78
STN,TUN,1846.78
TUN,CPH,2094.81
CPH,TUN,2094.81
TUN,KRK,1657.59
KRK,TUN,1657.59
TUN,ATL,8211.85
ATL,TUN,8211.85
TUN,LAX,10515.26
LAX,TUN,10515.26
TUN,ATH,1216.7
ATH,TUN,1216.7
TUN,PRG,1508.24
PRG,TUN,1508.24
TUN,MEX,10325.03
MEX,TUN,10325.03
TUN,CUN,9221.89
CUN,TUN,9221.89
TUN,BAH,3972.86
BAH,TUN,3972.86
TUN,AUH,4424.05
AUH,TUN,4424.05
TUN,DXB,4445.21
DXB,TUN,4445.21
TUN,ISB,5596.44
ISB,TUN,5596.44
TUN,PEW,5465.55
PEW,TUN,5465.55
TUN,DOH,4110.44
DOH,TUN,4110.44
TUN,BDQ,6190.21
BDQ,TUN,6190.21
TUN,IXA,7680.8
IXA,TUN,7680.8
TUN,IMF,7856.17
IMF,TUN,7856.17
TUN,HKG,9672.82
HKG,TUN,9672.82
TUN,HWR,5964.33
HWR,TUN,5964.33
TUN,IXE,6903.16
IXE,TUN,6903.16
TUN,MAA,7370.26
MAA,TUN,7370.26
BRU,CPH,754.38
CPH,BRU,754.38
BRU,CPT,9538.72
CPT,BRU,9538.72
BRU,DTW,6380.45
DTW,BRU,6380.45
BRU,SAN,9105.72
SAN,BRU,9105.72
BRU,BCN,1083.78
BCN,BRU,1083.78
BRU,AGP,1735.48
AGP,BRU,1735.48
BRU,PRG,696.57
PRG,BRU,696.57
BRU,ZRH,483.42
ZRH,BRU,483.42
BRU,KWI,4325.63
KWI,BRU,4325.63
BRU,BEY,3139.29
BEY,BRU,3139.29
BRU,ISB,5723.59
ISB,BRU,5723.59
BRU,IDR,6773.45
IDR,BRU,6773.45
BRU,HWR,6128.48
HWR,BRU,6128.48
BRU,LKO,6804.81
LKO,BRU,6804.81
BRU,BLR,7699.32
BLR,BRU,7699.32
BRU,IXE,7523.29
IXE,BRU,7523.29
BRU,MAA,7889.32
MAA,BRU,7889.32
BRU,TRZ,7977.5
TRZ,BRU,7977.5
BRU,SIN,10555.34
SIN,BRU,10555.34
BER,FRA,431.24
FRA,BER,431.24
BER,HAM,274.2
HAM,BER,274.2
BER,DUS,477.81
DUS,BER,477.81
BER,HEL,1128.86
HEL,BER,1128.86
BER,BOS,6091.02
BOS,BER,6091.02
BER,EWR,6410.49
EWR,BER,6410.49
BER,IAH,8562.26
IAH,BER,8562.26
BER,LAX,9345.33
LAX,BER,9345.33
BER,MCO,7851.77
MCO,BER,7851.77
BER,SEA,8151.51
SEA,BER,8151.51
BER,SFO,9137.4
SFO,BER,9137.4
BER,PRG,256.87
PRG,BER,256.87
BER,ZRH,650.17
ZRH,BER,650.17
BER,KBL,4769.84
KBL,BER,4769.84
BER,BAH,4235.64
BAH,BER,4235.64
BER,AMM,2926.95
AMM,BER,2926.95
BER,BEY,2705.21
BEY,BER,2705.21
BER,NRT,8948.55
NRT,BER,8948.55
BER,KIX,8836.98
KIX,BER,8836.98
BER,HND,8942.64
HND,BER,8942.64
BER,PUS,8451.24
PUS,BER,8451.24
BER,RPR,6691.98
RPR,BER,6691.98
BER,RML,7817.85
RML,BER,7817.85
BER,IXA,7110.27
IXA,BER,7110.27
BER,IXB,6683.48
IXB,BER,6683.48
BER,DEL,5770.61
DEL,BER,5770.61
BER,VGA,7025.19
VGA,BER,7025.19
BER,CCJ,7175.33
CCJ,BER,7175.33
BER,GOX,6630.68
GOX,BER,6630.68
BER,TRZ,7390.1
TRZ,BER,7390.1
BER,TRV,7475.33
TRV,BER,7475.33
FRA,STN,618.11
STN,FRA,618.11
FRA,CPT,9392.76
CPT,FRA,9392.76
FRA,NBO,6316.47
NBO,FRA,6316.47
FRA,BOS,5889.16
BOS,FRA,5889.16
FRA,MCO,7619.29
MCO,FRA,7619.29
FRA,MIA,7762.64
MIA,FRA,7762.64
FRA,MSP,7049.35
MSP,FRA,7049.35
FRA,CDG,447.83
CDG,FRA,447.83
FRA,ZRH,285.62
ZRH,FRA,285.62
FRA,PTY,9089.44
PTY,FRA,9089.44
FRA,RUH,4292.89
RUH,FRA,4292.89
FRA,KWI,4021.35
KWI,FRA,4021.35
FRA,ISB,5449.21
ISB,FRA,5449.21
FRA,LHE,5708.29
LHE,FRA,5708.29
FRA,DOH,4588.09
DOH,FRA,4588.09
FRA,MNL,10298.38
MNL,FRA,10298.38
FRA,IXR,7116.35
IXR,FRA,7116.35
FRA,DEL,6121.81
DEL,FRA,6121.81
FRA,SIN,10280.19
SIN,FRA,10280.19
HAM,DUS,339.62
DUS,HAM,339.62
HAM,STN,683.79
STN,HAM,683.79
HAM,CAI,3132.57
CAI,HAM,3132.57
HAM,ATL,7329.99
ATL,HAM,7329.99
HAM,LAX,9086.59
LAX,HAM,9086.59
HAM,LGA,6113.05
LGA,HAM,6113.05
HAM,SFO,8886.71
SFO,HAM,8886.71
HAM,NCE,1127.16
NCE,HAM,1127.16
HAM,ORY,760.63
ORY,HAM,760.63
HAM,PRG,489.77
PRG,HAM,489.77
HAM,VIE,767.46
VIE,HAM,767.46
HAM,ZRH,693.8
ZRH,HAM,693.8
HAM,MED,4067.44
MED,HAM,4067.44
HAM,KWI,4088.73
KWI,HAM,4088.73
HAM,AUH,4912.68
AUH,HAM,4912.68
HAM,MCT,5209.83
MCT,HAM,5209.83
HAM,NRT,8991.45
NRT,HAM,8991.45
HAM,MNL,10034.97
MNL,HAM,10034.97
HAM,IMF,7424.8
IMF,HAM,7424.8
HAM,IXC,5814.17
IXC,HAM,5814.17
HAM,HWR,5731.76
HWR,HAM,5731.76
HAM,PKZ,9032.44
PKZ,HAM,9032.44
HAM,BLR,7366.68
BLR,HAM,7366.68
HAM,CJB,7517.54
CJB,HAM,7517.54
HAM,CCJ,7437.99
CCJ,HAM,7437.99
HAM,BKK,8836.24
BKK,HAM,8836.24
HAM,SYD,16279.31
SYD,HAM,16279.31
DUS,LGW,484.29
LGW,DUS,484.29
DUS,DUB,914.73
DUB,DUS,914.73
DUS,GDN,856.33
GDN,DUS,856.33
DUS,BOS,5717.38
BOS,DUS,5717.38
DUS,DFW,8076.27
DFW,DUS,8076.27
DUS,EWR,6038.78
EWR,DUS,6038.78
DUS,LAX,9133.12
LAX,DUS,9133.12
DUS,ZRH,445.09
ZRH,DUS,445.09
DUS,DXB,5005.77
DXB,DUS,5005.77
DUS,LHE,5821.36
LHE,DUS,5821.36
DUS,DOH,4755.34
DOH,DUS,4755.34
DUS,NRT,9330.74
NRT,DUS,9330.74
DUS,BBI,7513.37
BBI,DUS,7513.37
DUS,IXR,7226.46
IXR,DUS,7226.46
DUS,ATQ,5834.34
ATQ,DUS,5834.34
DUS,JAI,6284.25
JAI,DUS,6284.25
DUS,IXE,7371.46
IXE,DUS,7371.46
MUC,HEL,1574.64
HEL,MUC,1574.64
MUC,CPH,809.91
CPH,MUC,809.91
MUC,CAI,2623.65
CAI,MUC,2623.65
MUC,LAX,9615.8
LAX,MUC,9615.8
MUC,PHX,9348.21
PHX,MUC,9348.21
MUC,LYS,585.22
LYS,MUC,585.22
MUC,OPO,1790.26
OPO,MUC,1790.26
MUC,MEX,9844.79
MEX,MUC,9844.79
MUC,CUN,8887.43
CUN,MUC,8887.43
MUC,LHE,5489.28
LHE,MUC,5489.28
MUC,PUS,8837.25
PUS,MUC,8837.25
MUC,GMP,8510.42
GMP,MUC,8510.42
MUC,MNL,10165.07
MNL,MUC,10165.07
MUC,BOM,6312.17
BOM,MUC,6312.17
MUC,IDR,6242.26
IDR,MUC,6242.26
MUC,NAG,6608.47
NAG,MUC,6608.47
MUC,VNS,6555.31
VNS,MUC,6555.31
MUC,GAY,6762.78
GAY,MUC,6762.78
MUC,IMF,7414.96
IMF,MUC,7414.96
MUC,LKO,6311.73
LKO,MUC,6311.73
MUC,LPQ,8396.08
LPQ,MUC,8396.08
MUC,TRZ,7418.06
TRZ,MUC,7418.06
MUC,SIN,10058.43
SIN,MUC,10058.43
HEL,DUB,2022.41
DUB,HEL,2022.41
HEL,JNB,9618.4
JNB,HEL,9618.4
HEL,SAN,9107.14
SAN,HEL,9107.14
HEL,SFO,8723.87
SFO,HEL,8723.87
HEL,LIS,3363.94
LIS,HEL,3363.94
HEL,GVA,1990.72
GVA,HEL,1990.72
HEL,MED,4135.76
MED,HEL,4135.76
HEL,BEY,3043.83
BEY,HEL,3043.83
HEL,ICN,7032.05
ICN,HEL,7032.05
HEL,RML,7484.49
RML,HEL,7484.49
HEL,HKG,7809.41
HKG,HEL,7809.41
HEL,DED,5127.95
DED,HEL,5127.95
HEL,PKZ,8045.57
PKZ,HEL,8045.57
HEL,GOX,6304.43
GOX,HEL,6304.43
HEL,IXE,6631.5
IXE,HEL,6631.5
HEL,TRZ,7034.73
TRZ,HEL,7034.73
HEL,BKK,7907.81
BKK,HEL,7907.81
MAN,CPH,995.05
CPH,MAN,995.05
MAN,OSL,1111.52
OSL,MAN,1111.52
MAN,IAH,7569.97
IAH,MAN,7569.97
MAN,PHX,8239.81
PHX,MAN,8239.81
MAN,VIE,1443.33
VIE,MAN,1443.33
MAN,MEX,8722.09
MEX,MAN,8722.09
MAN,CUN,7793.69
